Rank,Prev_rank,Rider_name,Team_name,UCI_points,Points,Time,Year
1,1,POGAČAR Tadej,UAE-Team Emirates,1000,500,82:56:36,2021
2,2,VINGEGAARD Jonas,Team Jumbo-Visma,800,380,5:205:20,2021
3,3,CARAPAZ Richard,INEOS Grenadiers,675,340,7:037:03,2021
4,4,O'CONNOR Ben,AG2R Citroën Team,575,300,10:0210:02,2021
5,5,KELDERMAN Wilco,BORA - hansgrohe,475,280,10:1310:13,2021
6,6,MAS Enric,Movistar Team,400,260,11:4311:43,2021
7,7,LUTSENKO Alexey,Astana - Premier Tech,325,240,12:2312:23,2021
8,8,MARTIN Guillaume,"Cofidis, Solutions Crédits",275,220,15:3315:33,2021
9,9,BILBAO Pello,Bahrain - Victorious,225,210,16:0416:04,2021
10,10,URÁN Rigoberto,EF Education - Nippo,175,200,18:3418:34,2021
11,11,GAUDU David,Groupama - FDJ,150,190,21:5021:50,2021
12,12,CATTANEO Mattia,Deceuninck - Quick Step,125,180,24:5824:58,2021
13,13,CHAVES Esteban,Team BikeExchange,105,170,37:4837:48,2021
14,14,MEINTJES Louis,Intermarché - Wanty - Gobert Matériaux,85,160,38:0938:09,2021
15,15,PARET-PEINTRE Aurélien,AG2R Citroën Team,75,150,39:0939:09,2021
16,16,POELS Wout,Bahrain - Victorious,70,140,50:3550:35,2021
17,17,TEUNS Dylan,Bahrain - Victorious,65,130,51:4051:40,2021
18,18,GUERREIRO Ruben,EF Education - Nippo,60,120,54:1054:10,2021
19,19,VAN AERT Wout,Team Jumbo-Visma,55,110,57:0257:02,2021
20,20,MOLLEMA Bauke,Trek - Segafredo,50,100,1:02:181:02:18,2021
21,21,HENAO Sergio,Team Qhubeka NextHash,40,95,1:03:121:03:12,2021
22,22,BONNAMOUR Franck,B&B Hotels p/b KTM,40,90,1:04:351:04:35,2021
23,24,CASTROVIEJO Jonathan,INEOS Grenadiers,40,85,1:06:201:06:20,2021
24,25,VALVERDE Alejandro,Movistar Team,40,80,1:07:501:07:50,2021
25,23,HIGUITA Sergio,EF Education - Nippo,40,75,1:09:161:09:16,2021
26,26,IZAGIRRE Ion,Astana - Premier Tech,30,70,1:23:391:23:39,2021
27,27,KONRAD Patrick,BORA - hansgrohe,30,65,1:27:061:27:06,2021
28,28,QUINTANA Nairo,Team Arkéa Samsic,30,60,1:33:111:33:11,2021
29,30,MEURISSE Xandro,Alpecin-Fenix,30,55,1:40:481:40:48,2021
30,29,ALAPHILIPPE Julian,Deceuninck - Quick Step,30,50,1:43:061:43:06,2021
31,31,MOHORIČ Matej,Bahrain - Victorious,25,45,1:50:041:50:04,2021
32,33,KUSS Sepp,Team Jumbo-Visma,25,40,",,1:50:04",2021
33,32,BUCHMANN Emanuel,BORA - hansgrohe,25,35,1:51:051:51:05,2021
34,35,MAJKA Rafał,UAE-Team Emirates,25,30,1:54:041:54:04,2021
35,36,PACHER Quentin,B&B Hotels p/b KTM,25,25,1:55:341:55:34,2021
36,34,ELISSONDE Kenny,Trek - Segafredo,25,25,1:56:331:56:33,2021
37,37,BERNARD Julien,Trek - Segafredo,25,25,2:03:322:03:32,2021
38,39,PORTE Richie,INEOS Grenadiers,25,25,2:06:392:06:39,2021
39,40,STUYVEN Jasper,Trek - Segafredo,25,25,2:07:392:07:39,2021
40,41,MARTIN Dan,Israel Start-Up Nation,25,25,2:09:352:09:35,2021
41,42,THOMAS Geraint,INEOS Grenadiers,20,25,2:11:372:11:37,2021
42,43,MADOUAS Valentin,Groupama - FDJ,20,25,2:11:392:11:39,2021
43,44,POWLESS Neilson,EF Education - Nippo,20,25,2:13:332:13:33,2021
44,46,FORMOLO Davide,UAE-Team Emirates,20,25,2:15:562:15:56,2021
45,45,DONOVAN Mark,Team DSM,20,25,2:17:402:17:40,2021
46,47,RODRÍGUEZ Cristián,Team TotalEnergies,20,25,2:19:312:19:31,2021
47,48,LATOUR Pierre,Team TotalEnergies,20,25,2:19:362:19:36,2021
48,49,BAKELANTS Jan,Intermarché - Wanty - Gobert Matériaux,20,25,2:21:302:21:30,2021
49,50,KÜNG Stefan,Groupama - FDJ,20,25,2:22:032:22:03,2021
50,52,POLITT Nils,BORA - hansgrohe,20,25,2:22:442:22:44,2021
51,53,ROLLAND Pierre,B&B Hotels p/b KTM,15,25,2:23:112:23:11,2021
52,54,COLBRELLI Sonny,Bahrain - Victorious,15,25,2:24:392:24:39,2021
53,51,VALGREN Michael,EF Education - Nippo,15,25,2:26:162:26:16,2021
54,55,VAN BAARLE Dylan,INEOS Grenadiers,15,25,2:27:072:27:07,2021
55,56,RUTSCH Jonas,EF Education - Nippo,15,25,2:29:332:29:33,2021
56,58,CORT Magnus,EF Education - Nippo,10,25,2:30:232:30:23,2021
57,57,FRAILE Omar,Astana - Premier Tech,10,25,2:31:142:31:14,2021
58,59,SCHÄR Michael,AG2R Citroën Team,10,25,2:35:182:35:18,2021
59,60,DILLIER Silvan,Alpecin-Fenix,10,25,2:35:432:35:43,2021
60,61,GEOGHEGAN HART Tao,INEOS Grenadiers,10,25,2:37:022:37:02,2021
61,63,GESBERT Élie,Team Arkéa Samsic,,25,2:38:282:38:28,2021
62,62,GESCHKE Simon,"Cofidis, Solutions Crédits",,25,2:38:512:38:51,2021
63,64,ROTA Lorenzo,Intermarché - Wanty - Gobert Matériaux,,25,2:39:572:39:57,2021
64,67,ASGREEN Kasper,Deceuninck - Quick Step,,25,2:43:412:43:41,2021
65,66,VAN MOER Brent,Lotto Soudal,,25,2:43:492:43:49,2021
66,65,HOULE Hugo,Astana - Premier Tech,,25,2:44:392:44:39,2021
67,70,ERVITI Imanol,Movistar Team,,25,2:49:072:49:07,2021
68,69,KWIATKOWSKI Michał,INEOS Grenadiers,,25,2:49:222:49:22,2021
69,71,MCNULTY Brandon,UAE-Team Emirates,,25,2:50:532:50:53,2021
70,72,NAESEN Oliver,AG2R Citroën Team,,25,2:52:252:52:25,2021
71,73,SKUJIŅŠ Toms,Trek - Segafredo,,25,2:52:562:52:56,2021
72,74,DE LA PARTE Víctor,Team TotalEnergies,,25,2:54:282:54:28,2021
