,Rank,Prev_rank,Rider_name,Team_name,Points,Time,Year,Weight(kg),Height(m),Age,UAE-Team Emirates,Team Jumbo-Visma,INEOS Grenadiers,AG2R Citroën Team,BORA - hansgrohe,Movistar Team,Astana - Premier Tech,"Cofidis, Solutions Crédits",Bahrain - Victorious,EF Education - Nippo,Groupama - FDJ,Deceuninck - Quick Step,Team BikeExchange,Intermarché - Wanty - Gobert Matériaux,Trek - Segafredo,Team Qhubeka NextHash,B&B Hotels p/b KTM,Team Arkéa Samsic,Alpecin-Fenix,Israel Start-Up Nation,Team DSM,Team TotalEnergies,Lotto Soudal
0,1,1,POGAČAR Tadej,UAE-Team Emirates,500.0,82:56:36,2021,66.0,1.76,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,POGAČAR Tadej,UAE-Team Emirates,500.0,87:20:05,2020,66.0,1.76,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,VINGEGAARD Jonas,Team Jumbo-Visma,380.0,5:205:20,2021,60.0,1.75,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,CARAPAZ Richard,INEOS Grenadiers,340.0,7:037:03,2021,62.0,1.7,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,13,13,CARAPAZ Richard,INEOS Grenadiers,170.0,25:5325:53,2020,62.0,1.7,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,4,O'CONNOR Ben,AG2R Citroën Team,300.0,10:0210:02,2021,67.0,1.88,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,5,KELDERMAN Wilco,BORA - hansgrohe,280.0,10:1310:13,2021,65.0,1.85,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,32,32,KELDERMAN Wilco,Team LottoNL-Jumbo,40.0,1:24:381:24:38,2016,65.0,1.85,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,79,79,KELDERMAN Wilco,Team LottoNL-Jumbo,25.0,3:04:073:04:07,2015,65.0,1.85,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,6,MAS Enric,Movistar Team,260.0,11:4311:43,2021,61.0,1.77,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5,5,MAS Enric,Movistar Team,280.0,6:076:07,2020,61.0,1.77,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,22,22,MAS Enric,Deceuninck - Quick Step,90.0,58:2058:20,2019,61.0,1.77,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,7,7,LUTSENKO Alexey,Astana - Premier Tech,240.0,12:2312:23,2021,75.0,1.74,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,46,47,LUTSENKO Alexey,Astana Pro Team,25.0,2:39:372:39:37,2020,75.0,1.74,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,19,19,LUTSENKO Alexey,Astana Pro Team,110.0,48:5248:52,2019,75.0,1.74,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,71,70,LUTSENKO Alexey,Astana Pro Team,25.0,2:39:102:39:10,2017,75.0,1.74,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,62,62,LUTSENKO Alexey,Astana Pro Team,25.0,2:41:522:41:52,2016,75.0,1.74,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,8,8,MARTIN Guillaume,"Cofidis, Solutions Crédits",220.0,15:3315:33,2021,55.0,1.73,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,11,11,MARTIN Guillaume,"Cofidis, Solutions Crédits",190.0,16:5816:58,2020,55.0,1.73,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,12,12,MARTIN Guillaume,Wanty - Gobert Cycling Team,180.0,22:0822:08,2019,55.0,1.73,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,21,21,MARTIN Guillaume,Wanty - Groupe Gobert,95.0,44:1844:18,2018,55.0,1.73,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,23,23,MARTIN Guillaume,Wanty - Groupe Gobert,85.0,53:5253:52,2017,55.0,1.73,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,9,9,BILBAO Pello,Bahrain - Victorious,210.0,16:0416:04,2021,60.0,1.74,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,16,16,BILBAO Pello,Bahrain - McLaren,140.0,55:5655:56,2020,60.0,1.74,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,54,54,BILBAO Pello,Astana Pro Team,25.0,1:59:101:59:10,2019,60.0,1.74,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,10,10,URÁN Rigoberto,EF Education - Nippo,200.0,18:3418:34,2021,63.0,1.73,34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,8,8,URÁN Rigoberto,EF Pro Cycling,220.0,8:028:02,2020,63.0,1.73,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,7,7,URÁN Rigoberto,EF Education First,240.0,5:155:15,2019,63.0,1.73,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2,2,URÁN Rigoberto,Cannondale-Drapac Pro Cycling Team,380.0,0:540:54,2017,63.0,1.73,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,42,42,URÁN Rigoberto,Etixx - Quick Step,25.0,2:08:202:08:20,2015,63.0,1.73,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,24,24,URÁN Rigoberto,Sky Procycling,80.0,42:4842:48,2011,63.0,1.73,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,11,11,GAUDU David,Groupama - FDJ,190.0,21:5021:50,2021,53.0,1.73,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,13,13,GAUDU David,Groupama - FDJ,170.0,23:5823:58,2019,53.0,1.73,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,34,34,GAUDU David,Groupama - FDJ,30.0,1:30:011:30:01,2018,53.0,1.73,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,12,12,CATTANEO Mattia,Deceuninck - Quick Step,180.0,24:5824:58,2021,67.0,1.84,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,13,13,CHAVES Esteban,Team BikeExchange,170.0,37:4837:48,2021,55.0,1.64,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,23,24,CHAVES Esteban,Mitchelton-Scott,85.0,1:38:451:38:45,2020,55.0,1.64,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,62,63,CHAVES Esteban,ORICA-Scott,25.0,2:27:342:27:34,2017,55.0,1.64,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,14,14,MEINTJES Louis,Intermarché - Wanty - Gobert Matériaux,160.0,38:0938:09,2021,58.0,1.73,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,8,8,MEINTJES Louis,UAE Team Emirates,220.0,8:208:20,2017,58.0,1.73,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,8,8,MEINTJES Louis,Lampre - Merida,220.0,",,6:58",2016,58.0,1.73,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,15,15,PARET-PEINTRE Aurélien,AG2R Citroën Team,150.0,39:0939:09,2021,64.0,1.84,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,16,16,POELS Wout,Bahrain - Victorious,140.0,50:3550:35,2021,66.0,1.83,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,110,110,POELS Wout,Bahrain - McLaren,25.0,4:47:234:47:23,2020,66.0,1.83,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,26,26,POELS Wout,Team INEOS,70.0,1:12:251:12:25,2019,66.0,1.83,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,58,58,POELS Wout,Team Sky,25.0,2:13:232:13:23,2018,66.0,1.83,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,28,28,POELS Wout,Team Sky,60.0,1:06:571:06:57,2016,66.0,1.83,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,44,44,POELS Wout,Team Sky,25.0,2:12:442:12:44,2015,66.0,1.83,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,28,28,POELS Wout,Vacansoleil - DCM,60.0,56:3356:33,2013,66.0,1.83,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,17,17,TEUNS Dylan,Bahrain - Victorious,130.0,51:4051:40,2021,64.0,1.81,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,44,44,TEUNS Dylan,Bahrain Merida,25.0,1:44:171:44:17,2019,64.0,1.81,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,18,18,GUERREIRO Ruben,EF Education - Nippo,120.0,54:1054:10,2021,65.0,1.78,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,19,19,VAN AERT Wout,Team Jumbo-Visma,110.0,57:0257:02,2021,78.0,1.9,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,20,20,VAN AERT Wout,Team Jumbo-Visma,100.0,1:20:311:20:31,2020,78.0,1.9,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,20,20,MOLLEMA Bauke,Trek - Segafredo,100.0,1:02:181:02:18,2021,64.0,1.83,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55,28,28,MOLLEMA Bauke,Trek - Segafredo,60.0,1:14:581:14:58,2019,64.0,1.83,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,26,26,MOLLEMA Bauke,Trek - Segafredo,70.0,1:06:331:06:33,2018,64.0,1.83,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
57,17,17,MOLLEMA Bauke,Trek - Segafredo,130.0,37:4337:43,2017,64.0,1.83,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
58,11,11,MOLLEMA Bauke,Trek - Segafredo,190.0,13:1313:13,2016,64.0,1.83,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
59,7,7,MOLLEMA Bauke,Trek Factory Racing ,240.0,15:1415:14,2015,64.0,1.83,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,10,10,MOLLEMA Bauke,Belkin-Pro Cycling Team,200.0,21:1521:15,2014,64.0,1.83,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,6,6,MOLLEMA Bauke,Belkin-Pro Cycling Team,260.0,11:4211:42,2013,64.0,1.83,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,70,70,MOLLEMA Bauke,Rabobank Cycling Team,25.0,2:06:352:06:35,2011,64.0,1.83,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,21,21,HENAO Sergio,Team Qhubeka NextHash,95.0,1:03:121:03:12,2021,61.0,1.7,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64,47,47,HENAO Sergio,UAE-Team Emirates,25.0,1:52:371:52:37,2019,61.0,1.7,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,28,29,HENAO Sergio,Team Sky,60.0,1:16:321:16:32,2017,61.0,1.7,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,12,12,HENAO Sergio,Team Sky,180.0,18:5118:51,2016,61.0,1.7,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,22,22,BONNAMOUR Franck,B&B Hotels p/b KTM,90.0,1:04:351:04:35,2021,70.0,1.8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68,23,24,CASTROVIEJO Jonathan,INEOS Grenadiers,85.0,1:06:201:06:20,2021,62.0,1.71,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,50,50,CASTROVIEJO Jonathan,Team INEOS,25.0,1:54:221:54:22,2019,62.0,1.71,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,70,70,CASTROVIEJO Jonathan,Team Sky,25.0,2:36:062:36:06,2018,62.0,1.71,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,60,59,CASTROVIEJO Jonathan,Movistar Team,25.0,2:22:442:22:44,2017,62.0,1.71,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,24,24,CASTROVIEJO Jonathan,Movistar Team,80.0,1:26:051:26:05,2015,62.0,1.71,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,97,95,CASTROVIEJO Jonathan,Movistar Team,25.0,",,2:53:41",2013,62.0,1.71,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
