Name,URL,Weight(kg),Height(m),YOB
POGAČAR Tadej,https://www.procyclingstats.com/rider/Tadej-POGAČAR,66,1.76,1998
VINGEGAARD Jonas,https://www.procyclingstats.com/rider/Jonas-VINGEGAARD,60,1.75,1996
CARAPAZ Richard,https://www.procyclingstats.com/rider/Richard-CARAPAZ,62,1.7,1993
O'CONNOR Ben,https://www.procyclingstats.com/rider/Ben-O'CONNOR,67,1.88,1995
KELDERMAN Wilco,https://www.procyclingstats.com/rider/Wilco-KELDERMAN,65,1.85,1991
MAS Enric,https://www.procyclingstats.com/rider/Enric-MAS,61,1.77,1995
LUTSENKO Alexey,https://www.procyclingstats.com/rider/Alexey-LUTSENKO,75,1.74,1992
MARTIN Guillaume,https://www.procyclingstats.com/rider/Guillaume-MARTIN,55,1.73,1993
BILBAO Pello,https://www.procyclingstats.com/rider/Pello-BILBAO,60,1.74,1990
URÁN Rigoberto,https://www.procyclingstats.com/rider/Rigoberto-URÁN,63,1.73,1987
GAUDU David,https://www.procyclingstats.com/rider/David-GAUDU,53,1.73,1996
CATTANEO Mattia,https://www.procyclingstats.com/rider/Mattia-CATTANEO,67,1.84,1990
CHAVES Esteban,https://www.procyclingstats.com/rider/Esteban-CHAVES,55,1.64,1990
MEINTJES Louis,https://www.procyclingstats.com/rider/Louis-MEINTJES,58,1.73,1992
PARET-PEINTRE Aurélien,https://www.procyclingstats.com/rider/Aurélien-PARET-PEINTRE,64,1.84,1996
POELS Wout,https://www.procyclingstats.com/rider/Wout-POELS,66,1.83,1987
TEUNS Dylan,https://www.procyclingstats.com/rider/Dylan-TEUNS,64,1.81,1992
GUERREIRO Ruben,https://www.procyclingstats.com/rider/Ruben-GUERREIRO,65,1.78,1994
VAN AERT Wout,https://www.procyclingstats.com/rider/AERT-VAN,78,1.9,1994
MOLLEMA Bauke,https://www.procyclingstats.com/rider/Bauke-MOLLEMA,64,1.83,1986
HENAO Sergio,https://www.procyclingstats.com/rider/Sergio-HENAO,61,1.7,1987
BONNAMOUR Franck,https://www.procyclingstats.com/rider/Franck-BONNAMOUR,70,1.8,1995
CASTROVIEJO Jonathan,https://www.procyclingstats.com/rider/Jonathan-CASTROVIEJO,62,1.71,1987
VALVERDE Alejandro,https://www.procyclingstats.com/rider/Alejandro-VALVERDE,61,1.77,1980
HIGUITA Sergio,https://www.procyclingstats.com/rider/Sergio-HIGUITA,57,1.66,1997
IZAGIRRE Ion,https://www.procyclingstats.com/rider/Ion-IZAGIRRE,60,1.73,1989
KONRAD Patrick,https://www.procyclingstats.com/rider/Patrick-KONRAD,65,1.8,1991
QUINTANA Nairo,https://www.procyclingstats.com/rider/Nairo-QUINTANA,59,1.67,1990
MEURISSE Xandro,https://www.procyclingstats.com/rider/Xandro-MEURISSE,67,1.81,1992
ALAPHILIPPE Julian,https://www.procyclingstats.com/rider/Julian-ALAPHILIPPE,62,1.73,1992
MOHORIČ Matej,https://www.procyclingstats.com/rider/Matej-MOHORIČ,72,1.85,1994
KUSS Sepp,https://www.procyclingstats.com/rider/Sepp-KUSS,61,1.8,1994
BUCHMANN Emanuel,https://www.procyclingstats.com/rider/Emanuel-BUCHMANN,59,1.81,1992
MAJKA Rafał,https://www.procyclingstats.com/rider/Rafał-MAJKA,62,1.73,1989
PACHER Quentin,https://www.procyclingstats.com/rider/Quentin-PACHER,62,1.79,1992
ELISSONDE Kenny,https://www.procyclingstats.com/rider/Kenny-ELISSONDE,52,1.69,1991
BERNARD Julien,https://www.procyclingstats.com/rider/Julien-BERNARD,60,1.76,1992
PORTE Richie,https://www.procyclingstats.com/rider/Richie-PORTE,62,1.72,1985
STUYVEN Jasper,https://www.procyclingstats.com/rider/Jasper-STUYVEN,78,1.86,1992
MARTIN Dan,https://www.procyclingstats.com/rider/Dan-MARTIN,59,1.75,1986
THOMAS Geraint,https://www.procyclingstats.com/rider/Geraint-THOMAS,71,1.83,1986
MADOUAS Valentin,https://www.procyclingstats.com/rider/Valentin-MADOUAS,71,1.78,1996
POWLESS Neilson,https://www.procyclingstats.com/rider/Neilson-POWLESS,67,1.83,1996
FORMOLO Davide,https://www.procyclingstats.com/rider/Davide-FORMOLO,62,1.81,1992
DONOVAN Mark,https://www.procyclingstats.com/rider/Mark-DONOVAN,,1.86,1999
RODRÍGUEZ Cristián,https://www.procyclingstats.com/rider/Cristián-RODRÍGUEZ,56,1.77,1995
LATOUR Pierre,https://www.procyclingstats.com/rider/Pierre-LATOUR,66,1.8,1993
BAKELANTS Jan,https://www.procyclingstats.com/rider/Jan-BAKELANTS,67,1.77,1986
KÜNG Stefan,https://www.procyclingstats.com/rider/Stefan-KÜNG,83,1.93,1993
POLITT Nils,https://www.procyclingstats.com/rider/Nils-POLITT,80,1.92,1994
ROLLAND Pierre,https://www.procyclingstats.com/rider/Pierre-ROLLAND,70,1.84,1986
COLBRELLI Sonny,https://www.procyclingstats.com/rider/Sonny-COLBRELLI,74,1.76,1990
VALGREN Michael,https://www.procyclingstats.com/rider/Michael-VALGREN,71,1.79,1992
VAN BAARLE Dylan,https://www.procyclingstats.com/rider/BAARLE-VAN,78,1.87,1992
RUTSCH Jonas,https://www.procyclingstats.com/rider/Jonas-RUTSCH,82,1.97,1998
CORT Magnus,https://www.procyclingstats.com/rider/Magnus-CORT,68,1.83,1993
FRAILE Omar,https://www.procyclingstats.com/rider/Omar-FRAILE,72,1.83,1990
SCHÄR Michael,https://www.procyclingstats.com/rider/Michael-SCHÄR,78,1.98,1986
DILLIER Silvan,https://www.procyclingstats.com/rider/Silvan-DILLIER,75,1.83,1990
GEOGHEGAN HART Tao,https://www.procyclingstats.com/rider/HART-GEOGHEGAN,65,1.83,1995
GESBERT Élie,https://www.procyclingstats.com/rider/Élie-GESBERT,63,1.81,1995
GESCHKE Simon,https://www.procyclingstats.com/rider/Simon-GESCHKE,64,1.71,1986
ROTA Lorenzo,https://www.procyclingstats.com/rider/Lorenzo-ROTA,62,1.73,1995
ASGREEN Kasper,https://www.procyclingstats.com/rider/Kasper-ASGREEN,75,1.92,1995
VAN MOER Brent,https://www.procyclingstats.com/rider/MOER-VAN,79,1.91,1998
HOULE Hugo,https://www.procyclingstats.com/rider/Hugo-HOULE,72,1.82,1990
ERVITI Imanol,https://www.procyclingstats.com/rider/Imanol-ERVITI,82,1.89,1983
KWIATKOWSKI Michał,https://www.procyclingstats.com/rider/Michał-KWIATKOWSKI,68,1.76,1990
MCNULTY Brandon,https://www.procyclingstats.com/rider/Brandon-MCNULTY,69,1.83,1998
NAESEN Oliver,https://www.procyclingstats.com/rider/Oliver-NAESEN,72,1.84,1990
SKUJIŅŠ Toms,https://www.procyclingstats.com/rider/Toms-SKUJIŅŠ,70,1.78,1991
DE LA PARTE Víctor,https://www.procyclingstats.com/rider/LA-DE,64,1.81,1986
TURGIS Anthony,https://www.procyclingstats.com/rider/Anthony-TURGIS,70,1.78,1994
ARANBURU Alex,https://www.procyclingstats.com/rider/Alex-ARANBURU,63,1.78,1995
GODON Dorian,https://www.procyclingstats.com/rider/Dorian-GODON,73,1.9,1996
TEUNISSEN Mike,https://www.procyclingstats.com/rider/Mike-TEUNISSEN,73,1.84,1992
COSTA Rui,https://www.procyclingstats.com/rider/Rui-COSTA,69,1.83,1986
DOUBEY Fabien,https://www.procyclingstats.com/rider/Fabien-DOUBEY,62,1.74,1993
MATTHEWS Michael,https://www.procyclingstats.com/rider/Michael-MATTHEWS,72,1.78,1990
ZIMMERMANN Georg,https://www.procyclingstats.com/rider/Georg-ZIMMERMANN,70,1.81,1997
GAUTIER Cyril,https://www.procyclingstats.com/rider/Cyril-GAUTIER,65,1.69,1987
DE GENDT Thomas,https://www.procyclingstats.com/rider/GENDT-DE,73,1.79,1986
ARMIRAIL Bruno,https://www.procyclingstats.com/rider/Bruno-ARMIRAIL,74,1.9,1994
FERNÁNDEZ Rubén,https://www.procyclingstats.com/rider/Rubén-FERNÁNDEZ,60,1.77,1991
SWEENY Harry,https://www.procyclingstats.com/rider/Harry-SWEENY,75,1.86,1998
PEREZ Anthony,https://www.procyclingstats.com/rider/Anthony-PEREZ,70,1.9,1991
HERRADA Jesús,https://www.procyclingstats.com/rider/Jesús-HERRADA,70,1.83,1990
BARTHE Cyril,https://www.procyclingstats.com/rider/Cyril-BARTHE,67,1.84,1996
SWIFT Connor,https://www.procyclingstats.com/rider/Connor-SWIFT,75,1.9,1995
ARCAS Jorge,https://www.procyclingstats.com/rider/Jorge-ARCAS,68,1.87,1992
LAPORTE Christophe,https://www.procyclingstats.com/rider/Christophe-LAPORTE,76,1.89,1992
PÉRICHON Pierre-Luc,https://www.procyclingstats.com/rider/Pierre-Luc-PÉRICHON,69,1.82,1987
CHEVALIER Maxime,https://www.procyclingstats.com/rider/Maxime-CHEVALIER,60,1.78,1999
GARCÍA CORTINA Iván,https://www.procyclingstats.com/rider/CORTINA-GARCÍA,77,1.83,1995
RICKAERT Jonas,https://www.procyclingstats.com/rider/Jonas-RICKAERT,83.5,1.87,1994
WRIGHT Fred,https://www.procyclingstats.com/rider/Fred-WRIGHT,75,1.84,1999
VAN AVERMAET Greg,https://www.procyclingstats.com/rider/AVERMAET-VAN,74,1.81,1985
HIRSCHI Marc,https://www.procyclingstats.com/rider/Marc-HIRSCHI,61,1.74,1998
GILBERT Philippe,https://www.procyclingstats.com/rider/Philippe-GILBERT,75,1.78,1982
DURBRIDGE Luke,https://www.procyclingstats.com/rider/Luke-DURBRIDGE,78,1.87,1991
